Text,Type
"Human Traffic is without a doubt the most original and compelling film that I have seen for a long time. It documents 2 days in the lives of a group of young people, bored with their everyday existence and dead end jobs and taking ecstasy at raves on the weekend. It is hilariously funny and extremely poignant, and at times very sad. In the same genre as 'Trainspotting' it has a great soundtrack and features hot young rising British stars. The movie was made on a miniscule budget and I look forward to future offerings of Writer/Director Justin Kerrigan when his talent is discovered by the major movie makers.",Non-Biology
"Slaughter Trail is a B western with some grand pretensions. But it's come down in Hollywood history for a most ignominious reason.<br /><br />Watching this film with it's musical score which can only be described as overbearing, I have a feeling what Howard Hughes was trying to do is recruit a singing cowboy for RKO films. They already had Tim Holt who was as reliable a B picture cowboy hero there ever was, but he was not a singer. I guess Hughes saw what money Herbert J. Yates was raking in with Roy Rogers over at Republic and decided he'd get one as well.<br /><br />So Terry Gilkyson who was a very good performer and much better song writer got recruited and sang some of his material which was not his best and worse, looked like they were shoehorned into the picture. But worse than that, there's this annoying chorus which sang a lot of the story and frankly overwhelmed the actors, extras, even the horses. Needless to say Terry never got to be a singing cowboy. But he did write such classics as The Bare Necessities and Dean Martin's great hit, Memories are Made of This.<br /><br />The plot concerns an inside woman on a stagecoach jewel robbery. That's right, the outlaws who are Gig Young, Myron Healey, and Ken Koutnik plant Virginia Grey in the coach as a passenger which they receive word is carrying some valuable jewels. <br /><br />It's a great act Grey and Young pull off. Young takes her away from the coach to presumably a fate worse than death and they do properly act out the scene within earshot of the passengers, but what he does is slip her the swag. Last place the authorities might look, if she doesn't run off with it.<br /><br />But when they flee the robbery it's on tired horses so they stop at a cabin to take some replacement mounts and shoot three Navajos who object. That puts the Navajos back on the warpath, didn't help that one of the casualties was Chief Ric Roman's brother.<br /><br />That's the situation that Captain Brian Donlevy at the fort has to deal with when the coach and the outlaws arrive there for protection. How it all works out is predictable, but in a gaudy sort of overproduced way.<br /><br />In fact that's the problem with Slaughter Trail. It's a simple no frills B western that got souped up into something almost grotesque.<br /><br />But the real reason Slaughter Trail entered into history is that this film apparently marks the official beginning of the blacklist. Originally Howard DaSilva was to play Donlevy's part and may have in fact completed his scenes, when Howard Hughes officially fired him for Communist sympathies. His scenes were completely re-shot with Brian Donlevy in the lead.<br /><br />Considering what a fiasco this film turned into, I'm not sure whether Donlevy or DaSilva ought to have thanked Hughes or kicked him in his private preserve.",Non-Biology
"In the interest of classifying cases of male factor infertility, we have paid particular attention to the sugar ligand binding properties of the human sperm surface and the functional capacity of the acrosome for exocytosis--key parameters for assessing sperm fertilizing ability. Zona recognition and binding involve the interactions of sperm surface mannose receptors (lectins) with mannose ligands on the zona pellucida. Sperm surface mannose lectins can be visualized by their ability to bind a synthetic model zona ligand, fluorescein isothiocyanate (FITC)-conjugated mannosylated bovine serum albumin (BSA) (Man-FITC-BSA). We now report that Man-FITC-BSA biologically also mimics the effects of solubilized authentic human zonae, in that binding of Man-FITC-BSA results in a time-dependent receptor aggregation and the induction of acrosome exocytosis in capacitated sperm populations from fertile donors. In our assay, the addition of mM amounts of mannose monosaccharide to Man-FITC-BSA increases the number of polyvalent mannose ligands bound by individual spermatozoa and increases the rate of the acrosome reactions induced by Man-FITC-BSA, thereby increasing specimen processing efficiency. We conclude that exposure of human spermatozoa to polyvalent mannose ligands + D-mannose monosaccharide offers a new, convenient and readily available system to study sperm capacity for induced acrosome loss.",Biology
"Another in a long line of flicks made by people who think that knowing how to operate a camera is the same as telling a story. Within 15 minutes, the entire premise is laid out in just a few lines, so there is absolutely no mystery, which eliminates a whole facet of the suspense. The only half-way competent actor is killed 10 minutes into the film, so we're left with stupid characters running around doing stupid things. Low budget films can't afford expensive special effects, so the CGI portions are unsurprisingly unimpressive, but were at least a valid attempt. The creature suit is terrible, as seen when it falls to the sidewalk, and the director keeps emphasizing the eyes, which aren't even the red color shown in mirror shots. The dialogue is clumsy and uninspired, with some lines reminiscent of Aliens or Terminator. The last action sequence takes place in a police station, also a rip-off from Terminator, with everyone hiding in the one glass lined office that the Darkwolf doesn't smash into. In the end, the girl calls the hero ""a good Protector"", but he gets both his partners, the original Protector, and at least three other civilians, not to mention a dozen cops, all killed without getting a decent shot off, in spite of an arsenal of silver bullets and a submachine gun. But here's the real clincher for bad writing: They could have killed the beast right after the beginning credits when it was holding the stripper while flashing its red eyes. Instead, they took it into custody?!?",Non-Biology
"This film is definitely an odd love story. Though this film may not be much to shout about, Nicole Kidman carries the film on her own the rest of the cast could quite easily be forgotten, though Ben Chaplin does do quite a good job of Hertfordshire Life with shots of St Albans & Hemel Hempstead town centre depicting the true essence of the area. What starts outlooking like a regular episode of the popular British TV series""Heartbeat"" soon turns into a gritty gangster getaway action flick.Nothing truly memorable happens in this simple small film and thus ends-up as fairly decent weekend entertainment. A good one to watch, and if you like the hero john are lonely thirty something you may find something to identify with in his character.",Non-Biology
"Sammi Cheng & Andy Lau are coupled yet again in their 3rd film -- YESTERDAY ONCE MORE -- directed by HK's actioneer Johnnie To...fans of To's action films will be disappointed to find not a single gun was used in the filming...furthermore, fans of Cheng & Lau's previous films, NEEDING YOU & LOVE ON A DIET, will also be disappointed to find that YESTERDAY is no where near as funny or endearing...<br /><br />Mr. & Mrs. To (Lau & Cheng) are a divorced couple...both affluent HK citizens...both incredibly mischievous...both just happened to be professional thieves -- 'two birds of the same feather'....A couple years earlier, they divorced over an inability to find middle ground on splitting the loot...Now she's remarrying...to the son of a rich heiress -- a total momma's boy (Carl Ng) through & through...The soon-to-be mother-in-law (Jenny Woo) is suspicious of Mrs. To's past & thinks she's only marrying her son for the family jewels -- the heiress' priceless ruby necklace...<br /><br />The necklace is stolen...is it Mrs. To's materialistic eye that gets the best of her?... or is it her ex-husband, Mr. To's way of sabotaging the marriage to steal the jewels for himself?...<br /><br />This is not a movie about two pple falling in love or rekindling a love...its about two pple who have always been in love but have somehow been to foolish to realize it...they let pride & greed overwhelm them...<br /><br />Overall: YESTERDAY is one part caper/heist film & one part homage to classic Hollywood glamour from its golden years -- i.e. Cary Grant & Grace Kelly's TO CATCH A THIEF...Johnnie To is riding too heavily on Cheng/Lau's chemistry from their previous films...hoping Cheng/Lau's immense popularity & fan base will be enough justification for this third film....I think Sammi Cheng is one of the most likable/charming entertainers working t'day...& Lau is definitely the Tom Cruise of Asian cinema...<br /><br />I really enjoyed their first two films & consider the Cheng/Lau pairing comparable to those classic Hollywood couples of the 40's & 50's...but YESTERDAY falls very short of expectations...terrible writing, ridiculous situations, product placements galore, & all the subplots & supporting characters were unnecessary...come to think of it...this film was unnecessary...unless you just love celebrity watching...",Non-Biology
"Some good set design. Good songs, though like the other guy said they aren't performed with much energy. Bea Arthur, trying her damndest to do something with the material, had an occasional good one-liner as Mame's friend Vera and helped move the song ""Bosom Buddies"" along. Other than that, there's nothing here that's worth your time. Slow pacing, incredibly bad cinemetography, not very good singing (except from Robert Preston), an awful script, bad acting (except from Bea), and a horrible lead actress. Who thought Lucille Ball would be good as the classy, life-loving Mame? The heads over at Warner Bros. were no doubt on crack when they decided to not use Angela Lansbury, who had done it so well on Broadway, and instead use Ball, who wasn't nearly as funny by then as she was 20 years earlier, couldn't act the part ""the right way"" at all, and used a painful croak as an excuse for singing. Even if (perhaps because) making the movie was painful for her to make and even if she financed it, she just isn't Mame. Auntie Mame is such a better film and the soundtrack of the Broadway musical with Lansbury sounds great. For the most part, there's nothing here that's great, engaging, or interesting at all. Forget it, unless you're a huge Lucy fan who thinks she could do no wrong. Hopefully after seeing this you'll realize she was only human.",Non-Biology
"Of the few published studies on the cytogenetic analyses of bovine nuclear transferred (NT) embryos, results differ between air-dry and fluorescent in situ hybridization (FISH) procedures. A modified air-dry procedure is reported in this study that provides more metaphase plates for analysis. Day 5 and Day 7 bovine NT embryos were cultured in colcemid-containing CR1aa for 10-12 or 16-18 h, then treated in hypotonic sodium citrate for 3-5 min. The standard procedure of 5h in colcemid and 15-20 min in hypotonic solution was the control. A much higher (P<0.01) percent of mitotic nuclei was observed in the experimental groups. The 33 and 41% mitotic nuclei were obtained from 10 to 12 h and 16 to 18 h-colcemid-treated Day 5 embryos, respectively, which was higher (P<0.001) than the control (15%). The mitotic nuclei in Day 7 NT embryos were 24% in 10-12 h- and 28% in 16-18 h-colcemid-treated groups, which also was higher (P<0.05) than the control (10%). The majority of analyzable embryos were diploid. Analyses of mixoploid embryos showed on average that 70% of the cells were diploid. Day 5 mixoploid embryos contained numerically higher polyploid cells than Day 7 embryos, although statistically there were no differences. We concluded that the modified air-dry method provided a larger source of mitotic nuclei for chromosome analyses of cloned bovine embryos.",Biology
"Many nucleoside analog drugs, such as ribavirin and viramidine, are activated or metabolized in vivo through 5'-phosphorylation. In this report, we determined the steady-state kinetic parameters for 5'-monophosphorylation of ribavirin and viramidine by adenosine kinase. The apparent Km for ribavirin is 540 microM, and k(cat) is 1.8 min-1. Its catalytic efficiency of 3.3 x 10(-3) min-1 . microM-1 is 1,200-fold lower than that of adenosine. In contrast to the common belief that ribavirin is exclusively phosphorylated by adenosine kinase, cytosolic 5'-nucleotidase II was found to catalyze ribavirin phosphorylation in vitro. The reaction is optimally stimulated by the physiological concentration of ATP or 2,3-bisphosphoglycerate. In phosphate-buffered saline plus ATP and 2,3-bisphosphoglycerate, the apparent Km for ribavirin is 88 microM, and k(cat) is 4.0 min-1. These findings suggest that cytosolic 5'-nucleotidase II may be involved in ribavirin phosphorylation in vivo. Like ribavirin, viramidine was found to be phosphorylated by either adenosine kinase or cytosolic 5'-nucleotidase II, albeit with a much lower activity. The catalytic efficiency for viramidine phosphorylation is 10- to 330-fold lower than that of ribavirin, suggesting that other nucleoside kinase(s) may be involved in viramidine phosphorylation in vivo. Both ribavirin and viramidine are not phosphorylated by deoxycytidine kinase and uridine-cytidine kinase. The coincidence of presence of high concentrated 2,3-bisphosphoglycerate in erythrocytes suggests that cytosolic 5'-nucleotidase II could play an important role in phosphorylating ribavirin and contribute to anabolism of ribavirin triphosphate in erythrocytes. Elucidation of ribavirin and viramidine phosphorylation mechanism should shed light on their in vivo metabolism, especially the ribavirin-induced hemolytic anemia in erythrocytes.",Biology
"Hydroxyapatite, a mineral form of calcium (Ca) and phosphorus (P) that gives bones their rigidity, is the major and essential component of bones and teeth in the human and animal body. A suitable ratio of Ca and P is vital for bone growth. The aim of this study was to explore the effects of dietary calcium to available phosphorus ratios (Ca/AP) on bone metabolism and osteoclast activity of the osteoprotegerin (OPG)/receptor activator of nuclear factor kappa B ligand (RANKL) signalling pathway in piglets. At days 15 and 29, the piglets were assessed for growth performance, blood indicators, cytokines and the OPG/RANK/RANKL signalling pathway. Our results showed that piglets fed a dietary Ca/AP ratio of 2:1 increases growth performance and regulates blood indicators and cytokines (parathyroid hormone (PTH), calcitonin (CT), vitamin D3 (VD3 ), insulin-like growth factor-1 (IGF-1), transforming growth factor-â (TGF-â), interleukin-1 (IL-1), interleukin-6 (IL-6), carboxyterminal propeptide of type I procollagen (PICP), tartrate-resistant acid phosphatase (TRACP), alkaline phosphatase (ALP) and osteocalcin (OCN) content). We also demonstrated that this ratio affects hormone secretion and further bone metabolism through the OPG/RANK/RANKL signalling pathway of osteoclasts. These results indicate that a suitable dietary Ca/AP ratio is vital for bone growth and reduce the incidence of bone diseases such as osteoporosis, providing a practical basis for the raising of piglets.",Biology
"Kaposi sarcoma-associated herpesvirus (KSHV) establishes a lifelong latent infection and causes several malignancies in humans. Murine herpesvirus 68 (MHV-68) is a related ã2-herpesvirus frequently used as a model to study the biology of ã-herpesviruses in vivo. The KSHV latency-associated nuclear antigen (kLANA) and the MHV68 mLANA (orf73) protein are required for latent viral replication and persistence. Latent episomal KSHV genomes and kLANA form nuclear microdomains, termed 'LANA speckles', which also contain cellular chromatin proteins, including BRD2 and BRD4, members of the BRD/BET family of chromatin modulators. We solved the X-ray crystal structure of the C-terminal DNA binding domains (CTD) of kLANA and MHV-68 mLANA. While these structures share the overall fold with the EBNA1 protein of Epstein-Barr virus, they differ substantially in their surface characteristics. Opposite to the DNA binding site, both kLANA and mLANA CTD contain a characteristic lysine-rich positively charged surface patch, which appears to be a unique feature of ã2-herpesviral LANA proteins. Importantly, kLANA and mLANA CTD dimers undergo higher order oligomerization. Using NMR spectroscopy we identified a specific binding site for the ET domains of BRD2/4 on kLANA. Functional studies employing multiple kLANA mutants indicate that the oligomerization of native kLANA CTD dimers, the characteristic basic patch and the ET binding site on the kLANA surface are required for the formation of kLANA 'nuclear speckles' and latent replication. Similarly, the basic patch on mLANA contributes to the establishment of MHV-68 latency in spleen cells in vivo. In summary, our data provide a structural basis for the formation of higher order LANA oligomers, which is required for nuclear speckle formation, latent replication and viral persistence.",Biology
"We report a case of a hard lesion in the body of an aortocoronary saphenous vein graft, which developed 3 years after bypass surgery and was not amenable to dilation during percutaneous coronary angioplasty, despite multiple balloon inflations at pressures reaching 13 atm. Hard lesions in aortocoronary saphenous vein grafts are rare but may lead to balloon angioplasty failure necessitating alternative angioplasty options.",Biology
"The complete nucleotide sequence of the coding region of foot and mouth disease virus RNA (strain A1061) is presented. The sequence extends from the primary initiation site, approximately 1200 nucleotide from the 5' end of the genome, in an open translational reading frame of 6,999 nucleotides to a termination codon 93 nucleotides from the 3' terminal poly (A). Available amino acid sequence data correlates with that predicted from the nucleotide sequence. The amino acid sequence around cleavage sites in the polyprotein shows no consistency, although a number of the virus-coded protease cleavage sites are between glutamate and glycine residues.",Biology
"A mathematical model is presented for the cellular uptake and cytotoxicity of the anticancer drug doxorubicin. The model assumes sigmoidal, Hill-type dependence of cell survival on drug-induced damage. Experimental evidence indicates distinct intracellular and extracellular mechanisms of doxorubicin cytotoxicity. Drug-induced damage is therefore expressed as the sum of two terms, representing the peak values over time of concentrations of intracellular and extracellular drugs. Dependence of cell kill on peak values of concentration rather than on an integral over time is consistent with observations that dose-response curves for doxorubicin converge to a single curve as exposure time is increased. Drug uptake by cells is assumed to include both saturable and unsaturable components, consistent with experimental data. Overall, the model provides better fits to in vitro cytotoxicity data than previous models. It shows how saturation of cellular uptake or binding with concentration can result in plateaus in the dose-response curve at high concentrations and short exposure, as observed experimentally in some cases. The model provides a unified framework for analyzing doxorubicin cellular pharmacokinetic and pharmacodynamic data, and can be applied in mathematical models for tumor response and treatment optimization.",Biology
"BACKGROUND: Peer review is assumed to improve the quality of research reports as tools for scientific communication, yet strong evidence that this outcome is obtained consistently has been elusive. Failure to distinguish between aspects of discipline-specific content and aspects of the writing or use of language may account for some deficiencies in current peer review processes.DISCUSSION: The process and outcomes of peer review may be analyzed along two dimensions: 1) identifying scientific or technical content that is useful to other researchers (i.e., its ""screening"" function), and 2) improving research articles as tools for communication (i.e., its ""improving"" function). However, editors and reviewers do not always distinguish clearly between content criteria and writing criteria. When peer reviewers confuse content and writing, their feedback can be misunderstood by authors, who may modify texts in ways that do not make the readers' job easier. When researchers in peer review confuse the two dimensions, this can lead to content validity problems that foil attempts to define informative variables and outcome measures, and thus prevent clear trends from emerging. Research on writing, revising and editing suggests some reasons why peer review is not always as effective as it might be in improving what is written.SUMMARY: Peer review could be improved if stakeholders were more aware of variations in gatekeepers' (reviewers' and editors') ability to provide feedback about the content or the writing. Gatekeepers, academic literacy researchers, and wordface professionals (author's editors, medical writers and translators) could work together to discover the types of feedback authors find most useful. I offer suggestions to help editologists design better studies of peer review which could make the process an even stronger tool for manuscript improvement than it is now.",Biology
"OBJECTIVE: To investigate the diagnostic and therapeutic approach of solitary necrotic nodule of the liver (SNNL).METHODS: Fifteen cases were diagnosed as SNNL from June 1999 to December 2005. The clinical characteristics, imaging findings, diagnosis and treatment were analyzed with related literature retrospectively.RESULTS: The patients manifested abdominal pain and discomfort in 7 cases (46.7%), fever in 1 case (6.7%), debilitation in 1 case (6.7%). Lesions were screened as hypoechogenic patterns in B ultrasound, and CT scan confirmed that the lesion appeared slightly hypodense compared with the normal liver parenchyma without detectable enhanced graphic phases. No significant enhancement was on dynamic magnetic resonance imaging study. All of the nodules demonstrated hypointense and isointense signal relative to parenchyma of liver on both T1 and T2-weighted images. Histologically, the lesion composed mainly of coagulative necrosis with a homogeneous periphery, and the central zone had a rough patchy appearance with cellular debris. The coagulative necrosis was surrounded by a thin boundary of collagen fibers with scanty mononuclear, lymphocyte, plasmocyte inflammatory cells and elastic fibers. Preoperative laboratory examinations showed hepatic function slightly abnormal in 3 patients, and AFP level was normal in all patients. Diagnosis of SNNL was established in 4 cases (26.7%) preoperatively. All patients underwent liver resection with no recurrence within 3 months to 6 years follow-up.CONCLUSIONS: Preoperative diagnosis of SNNL can be established via comprehensive analysis of clinical characteristics and imaging findings. Liver resection is the optimal therapeutic approach.",Biology
"We report the case of an elderly man with an acute promyelocytic leukemia variant carrying complex variant translocations. The Q-banded karyotype and spectral karyotyping method revealed a typical t(15;17), and two complex rearrangements caused by stepwise translocation derived from a typical t(15;17). Chromosomes 8 and 14 were related to these rearrangements. The patient received induction chemotherapy using all-trans retinoic acid and achieved complete remission. To our knowledge, a case with complex rearrangements, caused by apparent stepwise translocation, at diagnosis, has not been reported previously.",Biology
"OBJECTIVES: This study sought to examine the relations among patient characteristics, time to thrombolysis and outcomes in the international GUSTO-I trial.BACKGROUND: Studies have shown better left ventricular function and decreased infarct size as well as increased survival with earlier thrombolysis, but the relative benefits of various thrombolytic agents with earlier administration are uncertain.METHODS: We evaluated the relations of baseline characteristics to three prospectively defined time variables: symptom onset to treatment, symptom onset to hospital arrival (presentation delay) and hospital arrival to treatment (treatment delay). We also examined the relations of delays to clinical outcomes and to the relative 30-day mortality benefit with accelerated tissue-type plasminogen activator (t-PA) versus streptokinase.RESULTS: Female, elderly, diabetic and hypertensive patients had longer delays at all stages. Previous infarction or bypass surgery was an additional risk factor for treatment delay. Early thrombolysis was associated with lower overall mortality rate (< 2 h, 5.5%; > 4 h, 9.0%), but no additional relative benefit resulted from earlier treatment with accelerated t-PA versus streptokinase (p = 0.38). Longer presentation and treatment delays were both associated with increased mortality rate (presentation delay < 1 h, 5.6% and > 4 h, 8.6%; treatment delay < 1 h, 5.4%, and > 90 min, 8.1%). As time to treatment increased, the incidence of recurrent ischemia or reinfarction decreased, but the rates of shock, heart failure and stroke increased.CONCLUSIONS: Earlier treatment resulted in better outcomes, regardless of thrombolytic strategy. Elderly, female and diabetic patients were treated later, adding to their already substantial risk.",Biology
One hundred fifty-two patients were accepted for home hemodialysis training from 1970 to 1976. Duration of training varied from 4 to 22 weeks. The primary reason for discontinuing home dialysis was patient and assistant psychological adjustment problems. Patient medical and technical problems were not related to the distance from the home dialysis training unit. Cumulative probability of survival was .948 at one year and .637 at five years. Cardiovascular disease accounted for 80% of the patients who died while receiving long-term hemodialysis. Fifty-three percent of the deaths in patients after renal transplantation were secondary to infectious causes.,Biology
I was browsing through the movies on demand and saw Underdog for free and it was only 82 minutes long so I decided to watch it. I wasn't expecting much but it exceeded my expectations of being awful. Everything about the movie was cringe worthy. The dialogue was atrocious including many terrible puns. The jokes were also terrible. I found myself yelling and flipping off my television screen while I was suffering through this trash. It hit its target audience very well but I don't see how anyone else could enjoy this film. It made me very angry and nearly cry because of everything terrible this film had going for it.<br /><br />The only enjoyable thing about this movie was being able to give it a 1/10 after viewing it. I beg you to avoid it at all costs. I understand the fact that its made for kids but there is nothing likable about it at all.,Non-Biology
"BACKGROUND: A survival advantage has been observed among patients with malignant pleural mesothelioma undergoing maximal cytoreductive surgery and adjuvant therapy. Elderly patients are considered higher risk for these radical operations and are commonly not offered surgical treatment. We reviewed our experience with extended pleurectomy and decortication among patients 70 years or older and compared them with a cohort of younger patients undergoing extended pleurectomy and decortication for malignant pleural mesothelioma.METHODS: We performed a retrospective review of 117 consecutive patients undergoing extended pleurectomy and decortication at a university hospital from January 2008 to December 2013. Patients 70 years and older were compared with younger patients for postoperative outcome and survival. Survival was estimated using the Kaplan-Meier method.RESULTS: Fifty-four patients were 70 years or older; 63 were younger than 70 years. Older patients had more hypertension (71.2% versus 45.2%; p = 0.004) and coronary artery disease (22.6% versus 6.5%; p = 0.006). Major complications occurred in 3 patients (5.5%) in the older group and in 7 patients (11.1%) of the younger group (not significant). There were 2 deaths in each group after surgery (3.7% older versus 3.2% younger; not significant). Median survival was 15.6 months in the older patients and 14.0 months in the younger patients (not significant). Kaplan-Meier survival curves based on age groups were not significantly different with 1- and 2-year survivals of 64% versus 55% and 29% versus 32%, respectively.CONCLUSIONS: Our study demonstrates that whereas age may be associated with more comorbid conditions in patients with malignant pleural mesothelioma undergoing extended pleurectomy and decortication, this does not necessarily translate into increased operative morbidity or mortality or shorter long-term survival.",Biology
"In patients with plasma cell dyscrasia, individual clones of antibody-producing cells proliferate abnormally and secrete monoclonal antibodies or M proteins in excess. The cause of the monoclonal proliferation of lymphocytes and M protein secretion is unknown and it is not known whether the M protein-secreting B cells are autonomous or capable of responding to regulatory T cells. We carried out experiments using lymphocytes from a patient with neuropathy and plasma cell dyscrasia whose IgM M protein bound to the myelin-associated glycoprotein (MAG) to determine whether secretion of the M protein in vitro was responsive to T cell help or suppression. M protein secretion was measured by an enzyme-linked immunosorbent assay system for measuring anti-MAG IgM, and the number of M protein-secreting lymphocytes was enumerated by a reverse hemolytic plaque assay specific for the M protein idiotype. The patient's B cells were maximally stimulated by pokeweed mitogen-activated autologous OKT4+ T-helper cells and the helper effect was inhibited by OKT8+ suppressor/cytotoxic T cells. Low levels of M protein secretion in the absence of T cells were also observed and there was partial stimulation of M protein secretion by T cells in the absence of pokeweed mitogen.",Biology
"A case of congenital lobar emphysema is reported in a male child four years old. The clinical and radiological studies are described. Besides, this case was the basis to review the topic of Congenital Lobar Emphysema and the corresponding literature, considering that this is an uncommon disease in our milieu.",Biology
"A wonderful television mini-series completely ruined by a 45-year old woman trying desperately to pass herself off as a 16-year old ingenue! No exaggeration - that's the ACTUAL age of the character played by Ali MacGraw when the film opens just prior to the surprise attack at Pearl Harbor. This TV mini-series really is the most classic example of the title of this post and one I refer to whenever the topic comes up.<br /><br />That alone makes this completely unwatchable, despite the fact it's one of the best filmed WWII 'global' dramas TV has ever produced. If you have the stomach - or a decent fast-forward ability - you might be able to enjoy the late Robert Mitchum in a very strong performance. <br /><br />I'm stunned at some of the comments referring to the love story (pun intended). Did they watch the film with their eyes closed? Or are they aging boomers who never cease to amaze me with their ""selective memories"" and ""selective vision"". I'm a Boomer myself so don't think for a second I'm some hubristic young punk. 45 WILL ALWAYS LOOK 45. Get used to it. Deal with it. Age gracefully damnit.<br /><br />The Winds Of War could have been... so good. How much more would we be talking about this mini-series today, some 25 years later, had an ACTUAL ingenue been cast in such an important & critical role? Right now, with the constant haggard old biddy distraction, that alone cancels out most of the wonderful aspects of The Winds Of War.",Non-Biology
"We report the nanomechanical microcantilevers operated in vibration modes (oscillation) with use of RNA aptamers as receptor molecules for label-free detection of hepatitis C virus (HCV) helicase. The nanomechanical detection principle is that the ligand-receptor binding on the microcantilever surface induces the dynamic response change of microcantilevers. We implemented the label-free detection of HCV helicase in the low concentration as much as 100 pg/ml from measuring the dynamic response change of microcantilevers. Moreover, from the recent studies showing that the ligand-receptor binding generates the surface stress on the microcantilever, we estimate the surface stress, on the oscillating microcantilevers, induced by ligand-receptor binding, i.e. binding between HCV helicase and RNA aptamer. In this article, it is suggested that the oscillating microcantilevers with use of RNA aptamers as receptor molecules may enable one to implement the sensitive label-free detection of very small amount of small-scale proteins.",Biology
"I am surprised people, after such lousy movies getting to be in the top 250 or just being in the 7.0's, I thought more people would get a kick out of ""Throw Momma from the Train"". This was a great comedy by two terrific comedic actors, Billy Crystal and Danny DeVito. Together they made a great duo of insanity and obsession. Billy is a man who just lost his million dollar story to his ex wife and repeatedly wishes her dead, Danny has an insane and senile old mother who just abuses him. When Billy gives some ""misunderstood"" advice to Danny, Danny offers a proposition to Billy, if he kills his ex wife, Billy has to kill his mother. This is a crazy and funny story that can always get a good laugh. Please, sit back and enjoy this movie, people! It's a good one!<br /><br />7/10",Non-Biology
"Although the acting was excellent, I spent the whole movie waiting for the nasty boy who caused so much grief to so many of the characters, get his final nemesis, and instead everyone else suffered except him and he gets the job of the husband whose wife's death he causes by running away from his friends, wins the girl he gave an overdose to and tried to rape. Even his friend gives money to his father, but the butterfly effect completely fails to return to its cause.<br /><br />This is a very dark film as each character that gets affected, suffers never ending depression. None of the normal avenues for relief seem to be effective and the only thing the authorities seem to do is give out quantities of stress pills.<br /><br />If this is normal behaviour in Finland now, I'm never going to go back just in case I am affected by such an amoral butterfly and end up as destroyed as the characters in this film were.",Non-Biology
"War drama that takes place in Louisiana in 1971. It follows a bunch of recruits through basic training and then Tigerland--an accurate portrayal of Vietnam on American soil, before they're shipped over. It focuses on two men--Booz (Colin Farrell) and Paxton (Matthew Davis)...how they meet, become friends and deal with a corwardly squadron leader (Clifton Collins Jr.) and a borderline psycho (Shea Wingham).<br /><br />A surprisingly non-commercial film directed by Joel Schumacher. He uses a hand-held camera throughout most of the movie and uses digital video for the combat scenes. It works very well--the film looks gritty (as it should) and uncomfortably realistic.<br /><br />Farrell successfully covers up his Irish brogue and adopts a pretty convincing Southern accent. His performance is just superb--he's an extremely talented young man. Davis, unfortunately, is not that good. He's tall, muscular, very handsome--and very bland. The rest of the cast however is just great.<br /><br />This film was thrown away by its studio. It had no stars in it, a familar story and was considered ""just another war film"". It only played a week in Boston! It's well worth catching on video or DVD.<br /><br />Also, Farrell and Davis have a lengthy nude scene.",Non-Biology
"I'm a pretty tolerable guy, when it comes to movies, even B movies. I routinely watch some B movies for fun, and they can range from surprisingly good, to just downright awful. I usually set my expectations really low before watching these types of movies, and even after doing that, Descent was just downright awful. I really didn't mind that they were ripping off the Core to some extent, but they did absolutely nothing interesting with the material. Some scientists are worried about the earth's seismic activity, and must travel into the depths of the earth in order to stabilize the mantel. So what we get is a monotonously long set-up in which two dueling scientists played by Luke Perry and Rick Roberts have to work together on a top secret mission, named Project DEEP. The man in charge, General Fielding played by Michael Dorn, is secretly withholding vital information from Assistant Marsha Crawford, played by Mimi Kuzyk. Rounding out the cast is Natalie Brown who plays Jen, a mission specialist who created the ""Mole"" a drill which is used plunge into the depths of the Earth.<br /><br />Other than some pretty good special effects, and set designs, nothing about Descent is worthwhile. The movie starts out fairly entertaining, but it gets bogged down quickly in a tiresome story about uncontrollable seismic activity, which has been done to death in other movies such as the Core. Descent also has a poor script, with useless, forgettable dialog between the characters. To make matters worse, there is literally no action, no real threat or danger. The attempts at comic relief are painfully unfunny. The plot has gaping holes and some of the subplots are left untied at the end leaving a bad taste in your mouth. <br /><br />In closing this movie was just a cheap way for everyone involved to get a paycheck. There was no thought behind this movie, no innovation, it's just there. Other than some nice looking special effects, and set designs, this movie fails on every other level. The story is from the garbage can of Hollywood, and the characters are uninteresting to boot. Descent will simply descend you into boredom, and frustration. Avoid at all costs.",Non-Biology
"Bdellovibrio bacteriovorus, strain Bd. 109 Sa, generates ATP mainly by oxidative phosphorylation during electron transport. During exponential growth the ATP pool is constant (9 mmoles/100 mugN) indicating that energy-producing and energy-consuming reactions are well balanced. The ratio of substrate respiration/endogenous respiration is approx. 2.5/1. Energy charge is constant both in endogenous and substrate respiration at values of 0.62 to 0.64. During endogenous respiration (starvation) the ATP pool oscillates at regular intervals. ATP over-production is started after the ATP pool has decreased to a minimum level of 6 nmoles/100 mug N. The alternating over- and under-production of ATP is interpreted as a special regulation which enables the organism to make economic use of its own cellular materials. Addition of substrate (glutamate) to starving cells does not influence the type of ATP pool oscillation as observed in endogenous respiration. The parasitic strain Bd. 109 Pa exhibits the same periodicity of ATP overproduction as does it saprophytic derivative, Bd. 109 Sa. Decrease of viability during starvation is paralleled by a decrease of the ATP pool.",Biology
